Player ID,First Name,Last Name,Known Name,Born Date,Shirt Number,Position,Position Detail,Citizenship,Height,Foot,Photo,Module Position,Age
55843,CARLOS  MATEO,ABASTOFLOR AGUILERA,ABASTOFLOR C.,2002-04-09,0,Midfielder,,Bolivia,170.0,,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/ABASTOFLOR C._55843.png,0,22.2
55883,VICTOR ALONSO,ABREGO AGUILERA,ABREGO V.,1997-02-11,0,Striker,,Bolivia,176.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/ABREGO V._55883.png,0,27.4
55513,CARLOS MAURICIO,ADORNO PATINO,ADORNO C.,2001-04-03,0,Goalkeeper,,Bolivia,181.0,,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/ADORNO C._55513.png,0,23.2
48446,CARMELO,ALGARANAZ,ALGARANAZ C.,1996-01-27,11,Striker,,Bolivia,178.0,left,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/ALGARANAZ C._48446.png,0,28.4
55881,JOSE ANDRES,ALIPAZ,ALIPAZ J.,2003-04-06,0,Midfielder,,Bolivia,,,,0,21.2
55889,GUSTAVO JAVIER,ALMADA GONZALES,ALMADA G.,1994-04-29,12,Goalkeeper,,Paraguay,182.0,right,,0,30.2
55025,EDUARDO MAURICIO,ALVAREZ VARGAS,ALVAREZ E.,2003-04-09,0,Defender,,Bolivia,188.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/ALVAREZ E._55025.png,0,21.2
48444,JAIME,ARRASCAITA,ARRASCAITA J.,1993-09-02,0,Midfielder,,Bolivia,175.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/ARRASCAITA J._48444.png,0,30.8
11171,DIEGO,BEJARANO IBANEZ,BEJARANO D.,1991-08-24,0,Defender,,Bolivia,174.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/BEJARANO D._11171.png,0,32.9
26507,DANNY BRAYHAN,BEJARANO YANEZ,BEJARANO D. B.,1994-01-03,0,Midfielder,,Bolivia,,,,0,30.5
55145,JOSE' MIGUEL,BRICENO MERCADO,BRICENO J.,2002-01-20,0,Striker,,Bolivia,,,,0,22.4
20852,BORIS,CESPEDES,CESPEDES B.,1995-06-19,16,Midfielder,,Bolivia,181.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/CESPEDES B._20852.png,0,29.0
48443,LUCAS,CHAVEZ,CHAVEZ L.,2003-04-17,13,Midfielder,,Bolivia,170.0,,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/CHAVEZ L._48443.png,0,21.2
26511,JEYSON,CHURA,CHURA J.,2002-02-03,0,Midfielder,,Bolivia,175.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/CHURA J._26511.png,0,22.4
26501,RUBEN,CORDANO JUSTINIANO,CORDANO R.,1998-10-16,0,Goalkeeper,,Bolivia,184.0,,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/CORDANO R._26501.png,0,25.7
26512,JAUME ALBERT,CUELLAR MENDOZA,CUELLAR J. A.,2001-08-23,8,Midfielder,,Bolivia,180.0,both,,0,22.9
54469,HECTOR MANUEL,CUELLAR ROSALES,CUELLAR H.,2000-08-16,22,Midfielder,,Bolivia,180.0,,,0,23.9
55049,DENILSON,DURAN ZABALA,DURAN D.,2003-03-24,0,Defender,,Bolivia,175.0,,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/DURAN D._55049.png,0,21.3
20503,ROBERTO,FERNANDEZ,FERNANDEZ ROBERTO,1999-07-12,17,Defender,,Bolivia,174.0,left,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/FERNANDEZ R._20503.png,0,25.0
20448,LUIS FERNANDO,HAQUIN LOPEZ,HAQUIN L.,1997-11-15,4,Defender,,Bolivia,190.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/HAQUIN L._20448.png,0,26.6
54501,JULIO HECTOR,HERRERA FAREL,HERRERA J.,1999-02-11,0,Midfielder,,Bolivia,173.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/HERRERA J._54501.png,0,25.4
20447,ADRIAN,JUSINO,JUSINO A.,1992-07-09,5,Defender,,Bolivia,185.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/JUSINO A._20447.png,0,32.0
20450,LEONEL,JUSTINIANO ARAUZ,JUSTINIANO L.,1992-07-02,6,Midfielder,,Bolivia,172.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/JUSTINIANO L._20450.png,0,32.0
11159,CARLOS,LAMPE,LAMPE C.,1987-03-17,1,Goalkeeper,,Bolivia,192.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/LAMPE C._11159.png,0,37.3
54489,JOSE' CARLOS,MARTINEZ GARZON,MARTINEZ J.,2002-09-18,0,Midfielder,,Bolivia,,,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/MARTINEZ J._54489.png,0,21.8
20452,MARCELO,MARTINS MORENO,MORENO M.,1987-06-18,0,Striker,,Bolivia,183.0,both,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/MORENO M._20452.png,0,37.0
48440,DIEGO DANIEL,MEDINA,MEDINA D.,2002-01-13,3,Defender,,Bolivia,175.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/MEDINA D._48440.png,0,22.5
55032,CESAR ALEJANDRO,MENACHO CLAROS,MENACHO C.,1999-08-09,9,Striker,,Bolivia,183.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/MENACHO C._55032.png,0,24.9
54994,BRUNO,MIRANDA VILLAGOMEZ,MIRANDA B.,1998-02-10,19,Striker,,Bolivia,178.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/MIRANDA B._54994.png,0,26.4
86206,ENZO,MONTEIRO,MONTEIRO E.,2004-05-27,0,Striker,,Bolivia,,,,0,20.1
55798,EFRAIN ANDRES,MORALES BADILLO,MORALES E.,2004-03-04,0,Defender,,Bolivia,191.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/MORALES E._55798.png,0,20.3
55001,ANDRES,MORENO MORENO,MORENO A.,2002-10-09,0,Midfielder,,Bolivia,,,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/MORENO A._55001.png,0,21.7
65533,FERNANDO,NAVA ORTEGA,NAVA F.,2004-06-08,0,Striker,,Bolivia,184.0,right,,0,20.1
54480,FABIAN,PEREIRA PEREZ,PEREIRA F.,2006-05-16,0,Goalkeeper,,Bolivia,181.0,,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/PEREIRA F._54480.png,0,18.1
55279,BRUNO RODRIGO,POVEDA ZEBALLOS,POVEDA B.,2003-10-22,0,Goalkeeper,,Bolivia,181.0,left,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/POVEDA B._55279.png,0,20.7
