Match ID,Team ID,Team Name,Player From ID,Player From Name,Event ID,Event Description,Tags,Period ID,Period Description,Start Minute,Start Second,End Minute,End Second,Intersection Point,Intersection Point Norm,Start X,Start Y,End X,End Y,Next Event Description,Shot On Target
131373,488,POLONIA,6420.0,PIOTR ZIELINSKI,5,Shot,"On Target, GK Save, Right, From outside the Penalty Area",1,1t,5,42,5,54,0.00;30.62;0.12,105.00;37.38;0.12,81.91,32.20,101.89,35.32,Shot Against,True
131373,423,FRANCIA,15562.0,THEO BERNARD FRANCOIS HERNANDEZ,5,Shot,"On Target, GK Save, Big Chance, Left, From inside the Penalty Area",1,1t,10,37,10,49,105.00;30.69;0.08,105.00;30.69;0.08,98.60,22.43,102.68,31.13,Cross Against,True
131373,488,POLONIA,20280.0,SEBASTIAN SZYMANSKI,5,Shot,"On Target, Promising Action, Left, From inside the Penalty Area, Deflected",1,1t,13,29,13,41,0.00;31.12;0.82,105.00;36.88;0.82,90.18,18.76,92.15,21.88,Shot Against,True
131373,488,POLONIA,26263.0,KACPER URBANSKI,5,Shot,"On Target, GK Save, Promising Action, Left, From inside the Penalty Area",1,1t,14,5,14,17,0.00;35.29;1.25,105.00;32.71;1.25,92.85,32.13,102.55,34.00,Shot Against,True
131373,488,POLONIA,23936.0,JAKUB MODER,5,Shot,"Right, From outside the Penalty Area, Off Target",1,1t,16,47,16,59,0.00;29.01;6.50,105.00;38.99;6.50,77.67,22.79,105.00,38.99,Shot Against,False
131373,423,FRANCIA,11048.0,OUSMANE DEMBELE',5,Shot,"On Target, GK Save, Big Chance, Right, From inside the Penalty Area",1,1t,18,38,18,50,105.00;35.82;0.89,105.00;35.82;0.89,96.80,43.34,101.22,38.65,Pass,True
131373,488,POLONIA,7449.0,ROBERT LEWANDOWSKI,5,Shot,"Promising Action, Headed Shot, From inside the Penalty Area, Off Target",1,1t,33,11,33,23,0.00;38.68;0.96,105.00;29.32;0.96,96.30,36.80,105.00,29.32,Shot Against,False
131373,423,FRANCIA,17930.0,AURELIEN TCHOUAMENI,5,Shot,"On Target, Blocked, Right, From outside the Penalty Area",1,1t,35,56,36,8,105.00;35.13;0.15,105.00;35.13;0.15,74.22,23.58,86.58,31.59,"Possession 
Lost",True
131373,423,FRANCIA,17930.0,AURELIEN TCHOUAMENI,5,Shot,"On Target, Right, From outside the Penalty Area, Deflected",1,1t,37,3,37,15,105.00;30.87;0.12,105.00;30.87;0.12,86.73,35.80,87.11,34.29,Pass,True
131373,423,FRANCIA,30184.0,WILLIAM SALIBA,5,Shot,"Right, From inside the Penalty Area, Off Target",1,1t,37,36,37,48,105.00;30.46;3.08,105.00;30.46;3.08,92.92,33.71,105.00,30.46,Ball Line Out,False
