Match ID,Team ID,Team Name,Player From ID,Player From Name,Player To ID,Player To Name,Event ID,Event Description,Tags,Period ID,Period Description,Start Minute,Start Second,End Minute,End Second,Intersection Point,Intersection Point Norm,Start X,Start Y,End X,End Y,Next Event Description
131488,781,VENEZUELA,,,,,4,Set Pieces Against,Kick Off,1,1t,0,0,0,4,,,52.65,34.04,74.08,38.81,
131488,820,GIAMAICA,14171.0,KASEY REMEL PALMER,58385.0,ETHAN RUPERT PINNOCK,34,Pass,Accurate,1,1t,0,0,0,5,,,52.35,33.96,30.92,29.19,Set Pieces Against
131488,820,GIAMAICA,58385.0,ETHAN RUPERT PINNOCK,98295.0,MICHAEL ANTHONY JAMES HECTOR,34,Pass,Accurate,1,1t,0,0,0,7,,,31.59,29.26,26.14,48.07,Pass
131488,820,GIAMAICA,14171.0,KASEY REMEL PALMER,,,3,Set Pieces,Kick Off,1,1t,0,0,0,4,,,52.35,33.96,30.92,29.19,Pass
131488,820,GIAMAICA,,,,,927,Possession Phase,,1,1t,0,0,0,14,,,,,,,Set Pieces
131488,820,GIAMAICA,98295.0,MICHAEL ANTHONY JAMES HECTOR,98753.0,WESLEY NATHAN HYLTON HARDING,34,Pass,Accurate,1,1t,0,2,0,10,,,26.88,49.26,42.72,65.91,Possession Phase
131488,820,GIAMAICA,98753.0,WESLEY NATHAN HYLTON HARDING,58385.0,ETHAN RUPERT PINNOCK,34,Pass,Accurate,1,1t,0,5,0,13,,,41.97,64.64,29.50,34.19,Pass
131488,820,GIAMAICA,58385.0,ETHAN RUPERT PINNOCK,,,10,"Possession 
Lost","Ball Out, Own Possession lost",1,1t,0,7,0,19,,,50.33,0.00,,,Pass
131488,781,VENEZUELA,,,,,11,Ball Recovery,,1,1t,0,8,0,20,,,54.67,68.00,,,"Possession 
Lost"
131488,820,GIAMAICA,58385.0,ETHAN RUPERT PINNOCK,,,34,Pass,"Inaccurate, Line Out",1,1t,0,9,0,17,,,29.57,31.28,50.33,0.00,Ball Recovery
131488,820,GIAMAICA,58385.0,ETHAN RUPERT PINNOCK,,,738,Ball Line Out,,1,1t,0,11,0,17,,,50.33,0.00,,,Pass
131488,781,VENEZUELA,50549.0,ALEXANDER GONZALEZ,,,34,Pass,Inaccurate,1,1t,0,27,0,35,,,56.01,68.00,71.99,63.07,Ball Line Out
131488,820,GIAMAICA,51308.0,DAMION LOWE,,,704,Intercept,,1,1t,0,28,0,36,,,33.01,4.93,,,Pass
131488,781,VENEZUELA,50549.0,ALEXANDER GONZALEZ,,,3,Set Pieces,Throw-in,1,1t,0,29,0,35,,,56.01,68.00,71.99,63.07,Intercept
131488,820,GIAMAICA,,,,,4,Set Pieces Against,Throw-in,1,1t,0,29,0,35,,,48.99,0.00,33.01,4.93,Set Pieces
131488,781,VENEZUELA,,,,,927,Possession Phase,,1,1t,0,30,0,33,,,,,,,Set Pieces Against
131488,820,GIAMAICA,51308.0,DAMION LOWE,,,738,Ball Line Out,,1,1t,0,30,0,36,,,37.71,0.00,,,Possession Phase
131488,781,VENEZUELA,45521.0,EDUARD BELLO,,,10,"Possession 
Lost",,1,1t,0,42,0,54,,,78.19,50.98,,,Ball Line Out
131488,781,VENEZUELA,50549.0,ALEXANDER GONZALEZ,7958.0,SALOMON RONDON,34,Pass,Accurate,1,1t,0,43,0,51,,,65.05,68.00,73.86,63.45,"Possession 
Lost"
131488,820,GIAMAICA,51308.0,DAMION LOWE,,,11,Ball Recovery,,1,1t,0,43,0,55,,,26.81,17.02,,,Pass
131488,781,VENEZUELA,7958.0,SALOMON RONDON,45521.0,EDUARD BELLO,34,Pass,Accurate,1,1t,0,44,0,52,,,72.14,60.31,78.19,50.98,Ball Recovery
131488,781,VENEZUELA,50549.0,ALEXANDER GONZALEZ,,,3,Set Pieces,Throw-in,1,1t,0,46,0,52,,,65.05,68.00,73.86,63.45,Pass
131488,820,GIAMAICA,,,,,4,Set Pieces Against,Throw-in,1,1t,0,46,0,52,,,39.95,0.00,31.14,4.55,Set Pieces
131488,781,VENEZUELA,45521.0,EDUARD BELLO,,,23,"Duel 
Lost","Aerial, Offensive",1,1t,0,47,0,59,,,77.82,51.95,,,Set Pieces Against
131488,781,VENEZUELA,,,,,927,Possession Phase,,1,1t,0,47,0,50,,,,,,,"Duel 
Lost"
131488,820,GIAMAICA,51308.0,DAMION LOWE,,,9,"Duel 
Won","Aerial, Defensive",1,1t,0,47,0,59,,,27.18,16.05,,,Possession Phase
131488,820,GIAMAICA,51308.0,DAMION LOWE,98295.0,MICHAEL ANTHONY JAMES HECTOR,34,Pass,Accurate,1,1t,0,47,0,55,,,27.18,16.05,12.84,19.03,"Duel 
Won"
131488,820,GIAMAICA,98295.0,MICHAEL ANTHONY JAMES HECTOR,,,10,"Possession 
Lost",,1,1t,0,49,1,1,,,62.73,34.41,,,Pass
131488,781,VENEZUELA,48528.0,WILKER JOSE' ANGEL ROMERO,,,11,Ball Recovery,,1,1t,0,50,1,2,,,42.27,33.59,,,"Possession 
Lost"
131488,820,GIAMAICA,,,,,927,Possession Phase,,1,1t,0,50,0,57,,,,,,,Ball Recovery
