,Team ID,Team Name,Team Logo
0,421,ARGENTINA,https://s3.eu-west-1.amazonaws.com/it.sics.logo/72/teamlogo/ARGENTINA_2023.png
1,779,BOLIVIA,https://s3.eu-west-1.amazonaws.com/it.sics.logo/72/teamlogo/BOLIVIA_779.png
2,243,BRASILE,https://s3.eu-west-1.amazonaws.com/it.sics.logo/72/teamlogo/BRASILE.png
3,3914,CANADA,https://s3.eu-west-1.amazonaws.com/it.sics.logo/72/teamlogo/CANADA.png
4,412,CILE,https://s3.eu-west-1.amazonaws.com/it.sics.logo/72/teamlogo/CHILE_412.png
5,414,COLOMBIA,https://s3.eu-west-1.amazonaws.com/it.sics.logo/72/teamlogo/COLOMBIA.png
6,416,COSTA RICA,https://s3.eu-west-1.amazonaws.com/it.sics.logo/72/teamlogo/COSTA_RICA.png
7,419,ECUADOR,https://s3.eu-west-1.amazonaws.com/it.sics.logo/72/teamlogo/ECUADOR.png
8,820,GIAMAICA,https://s3.eu-west-1.amazonaws.com/it.sics.logo/72/teamlogo/GIAMAICA_820.png
9,245,MESSICO,https://s3.eu-west-1.amazonaws.com/it.sics.logo/72/teamlogo/MESSICO.png
10,821,PANAMA,https://s3.eu-west-1.amazonaws.com/it.sics.logo/72/teamlogo/PANAMA_821.png
11,787,PARAGUAY,https://s3.eu-west-1.amazonaws.com/it.sics.logo/72/teamlogo/PARAGUAY_787.png
12,780,PERU',https://s3.eu-west-1.amazonaws.com/it.sics.logo/72/teamlogo/PERU'_780.png
13,819,STATI UNITI,https://s3.eu-west-1.amazonaws.com/it.sics.logo/72/teamlogo/USA.png
14,246,URUGUAY,https://s3.eu-west-1.amazonaws.com/it.sics.logo/72/teamlogo/URUGUAY.png
15,781,VENEZUELA,https://s3.eu-west-1.amazonaws.com/it.sics.logo/72/teamlogo/VENEZUELA_781.png
